GDPR – GAP ASSESSMENT CHECKLIST,,,,,,,,,,
?? GREEN rows = Gateway Questions (answer Yes/No).  If No ? mark all sub-controls in that block as N/A.  Yellow dropdown = Compliance Status.  N/A controls are excluded from the compliance score.,,,,,,,,,,
Control ID,GDPR Article,Area,Audit Question / Gateway Question,Evidence Required,Risk,Compliance Status,Evidence / Notes,Owner,Target Date,Remarks
M1.9,Art. 9,Manage,Is legal justification documented for using special categories of data?,"Legal opinion, Consent forms",H,,,,,
M1.10,Art. 9,Manage,Is explicit consent obtained for sensitive (racial/religious) data?,Affirmative action logs,H,,,,,
  M.2: Provide detailed notice of processing activities to data subjects,,,,,,,,,,
M2.0,Art. 12-14,Manage,Does the organization provide privacy notices to data subjects?,Public Privacy Notice,H,,,,,
M2.1,Art. 12-14,Manage,Are the privacy notices written in clear and plain language?,Readability assessment,M,,,,,
M2.2,Art. 12-14,Manage,Are notices governed by a formal policy/process for timely sharing?,Notice management SOP,M,,,,,
M2.3,Art. 12-14,Manage,Do notices include contact details and purposes for data use?,Notice checklist audit,H,,,,,
M2.4,Art. 12-14,Manage,Are notices shared at first contact when informing subjects of objections?,Customer journey flowcharts,M,,,,,
M2.5,Art. 12-14,Manage,Are notices generated and shared by automated means?,System workflow diagrams,L,,,,,
M2.6,Art. 12-14,Manage,Are notices shared at all points where personal data is collected?,Web/App screenshots,H,,,,,
M2.7,Art. 12-14,Manage,Are notices shared when data is obtained from third-party sources?,Third-party notice logs,H,,,,,
M2.8,Art. 12-14,Manage,Are notices shared before using data for new purposes?,Change management logs,H,,,,,
  M.3: Discontinue processing on request,,,,,,,,,,
M3.0,Art. 21,Manage,Can the organization discontinue processing some forms of data on request?,Opt-out mechanism proof,H,,,,,
M3.1,Art. 21,Manage,Can the organization stop all processing (especially marketing) on request?,Suppression lists,H,,,,,
M3.2,Art. 21,Manage,Is justification provided to the subject if a request is rejected?,"Email templates, Legal review",M,,,,,
M3.3,Art. 21,Manage,Does the organization maintain evidence of discontinued data use?,Audit trail of opt-outs,M,,,,,
M3.4,Art. 21,Manage,Is there a process to respond to stop-processing requests promptly?,Request handling SOP,M,,,,,
M3.5,Art. 21,Manage,Are stop-processing activities performed automatically?,"API logs, Automated workflow",L,,,,,
"  M.4: Collect unambiguous, granular consent from data subjects",,,,,,,,,,
M4.0,"Art. 7, 8, 9",Manage,Can the organization obtain consent from data subjects?,Consent banners/forms,H,,,,,
M4.1,"Art. 7, 8, 9",Manage,Is consent obtained prior to processing?,Consent logs (Timestamped),H,,,,,
M4.2,"Art. 7, 8, 9",Manage,Is consent obtained promptly for all required activities?,Compliance audit report,M,,,,,
M4.3,Art. 7,Manage,Does the organization automatically obtain all necessary consent?,Cookie bot/Consent Manager,M,,,,,
  M.5: Facilitate communication mechanism between data subject and organization,,,,,,,,,,
M5.0,Art. 15-20,Manage,Is there a published way for subjects to communicate on privacy?,"Contact page, DPO email",H,,,,,
M5.1,Art. 15-20,Manage,Is there an online portal for erasure/objection requests (DSAR)?,DSAR Portal screenshot,M,,,,,
M5.2,Art. 15-20,Manage,Are there backend tools to track requests to resolution?,"Ticketing system (e.g., Jira, OneTrust)",M,,,,,
M5.3,Art. 12,Manage,Can the organization validate the identity of requestors?,Identity verification policy,H,,,,,
M5.4,Art. 12,Manage,Is personnel trained to respond to privacy requests?,Training records,M,,,,,
M5.5,Art. 19,Manage,Can the organization notify recipients of data about erasure/restrictions?,Downstream notification logs,H,,,,,
M5.6,Art. 12,Manage,Can subjects/regulators view the status of their requests?,Portal tracking UI,L,,,,,
M5.7,Art. 12,Manage,"Are response times (e.g., 30 days) defined for requestors?",Service Level Agreement (SLA),M,,,,,
M5.8,Art. 12,Manage,Can the organization automatically respond to inquiries?,Auto-reply logs,L,,,,,
  M.6: Rectify inaccurate or incomplete personal data,,,,,,,,,,
M6.0,Art. 16,Manage,Can the organization correct/complete data when requested?,Correction workflow proof,H,,,,,
M6.1,Art. 16,Manage,Can the organization correct ALL data subject instances?,Database update logs,M,,,,,
M6.2,Art. 16,Manage,Is evidence of corrections recorded and shareable?,Change logs,M,,,,,
M6.3,Art. 16,Manage,Are corrections performed consistently and promptly?,Response time reports,M,,,,,
M6.4,Art. 16,Manage,Are some corrections performed automatically?,Self-service portal logs,L,,,,,
M6.5,Art. 16,Manage,Are all corrections performed automatically?,System architecture diagrams,L,,,,,
  M.7: Erase personal data regarding a data subject (Right to be Forgotten),,,,,,,,,,
M7.0,Art. 17,Manage,Is there a mechanism to locate and erase data on request?,Erasure SOP,H,,,,,
M7.1,Art. 17,Manage,Is personnel trained on how to locate and erase data?,Training certificates,M,,,,,
M7.2,Art. 17,Manage,Can personnel determine when erasure should be fulfilled vs. denied?,Erasure criteria checklist,M,,,,,
M7.3,Art. 17,Manage,Is there a process to erase data completely and accurately?,Data destruction policy,H,,,,,
M7.4,Art. 17,Manage,Is there a record that an erasure request was fulfilled?,Certificate of destruction,H,,,,,
M7.5,Art. 17,Manage,Can the organization contact other controllers to fulfill erasure?,Communication logs,M,,,,,
M7.6,Art. 17,Manage,Is there technology to erase data across multiple data stores?,Orchestration tool logs,M,,,,,
M7.7,Art. 17,Manage,Can erasure be performed automatically?,Script/API logs,L,,,,,
  M.8: Provide data subject with their personal data (Data Portability),,,,,,,,,,
M8.0,Art. 20,Manage,Can subjects get a copy of their data in electronic format?,Sample data export,H,,,,,
M8.1,Art. 20,Manage,"Is data provided in a common, machine-readable format (.xls/.xml)?",Export file sample,M,,,,,
M8.2,Art. 20,Manage,Is data provided automatically to the subject?,Download link logs,L,,,,,
M8.3,Art. 20,Manage,Can data be sent directly to another controller?,Portability process flow,L,,,,,
  M.9: Restrict the processing of personal data,,,,,,,,,,
M9.0,Art. 18,Manage,Is there a policy to restrict processing when required?,Restriction policy,M,,,,,
M9.1,Art. 18,Manage,Can the organization suspend/restrict processing on request?,'Freeze' flag in database,H,,,,,
M9.2,Art. 18,Manage,Are there procedures to notify processors to restrict processing?,Processor notification logs,M,,,,,
M9.3,Art. 18,Manage,Are recipients notified automatically of restrictions?,Automated email/API logs,L,,,,,
M9.4,Art. 18,Manage,Is there a process to notify subjects if a restriction is lifted?,Notification templates,M,,,,,
M9.5,Art. 18,Manage,Are subjects notified automatically when processing resumes?,System trigger logs,L,,,,,
M9.6,Art. 18,Manage,Is a record maintained of restricted processing instances?,Restriction audit logs,M,,,,,
M9.7,Art. 18,Manage,Is a record maintained of why restrictions were resumed?,Justification logs,M,,,,,
GW-ADM,Art. 22,??  GATEWAY: Does the organization use automated decision-making or profiling that produces legal or similarly significant effects on individuals?,,,H,,?  Answer YES or NO.  If NO ? mark all sub-controls below as N/A,,,
  M.10: Review data processing conducted by automated means,,,,,,,,,,
M10.0,Art. 22,Manage,Can the organization identify fully automated decisions?,Algorithmic inventory,H,,,,,
M10.1,Art. 22,Manage,Are automated decisions evaluated for legal justification?,"DPIA, Legal review",H,,,,,
M10.2,Art. 22,Manage,Is there a policy for when human intervention is necessary?,Automation policy,M,,,,,
M10.3,Art. 22,Manage,Is there a procedure for human review of inconsistent decisions?,Reviewer logs,M,,,,,
M10.4,Art. 22,Manage,Can subjects challenge or explain their view on a decision?,Appeal process documentation,H,,,,,
GW-DPO,Art. 37,"??  GATEWAY: Is the organization required to appoint a Data Protection Officer (public authority, large-scale processing, or special category data)?",,,H,,?  Answer YES or NO.  If NO ? mark all sub-controls below as N/A,,,
  M.11: Appoint a Data Protection Officer (DPO),,,,,,,,,,
M11.0,Art. 37,Manage,Is there an appointed Data Protection Officer (DPO)?,"Appointment letter, Job desc.",H,,,,,
M11.1,Art. 39,Manage,Does the DPO conduct regular privacy training?,Training attendance logs,M,,,,,
M11.2,Art. 38,Manage,Does the DPO maintain a professional peer network?,Association memberships,L,,,,,
M11.3,Art. 39,Manage,Does the DPO perform independent review and oversight?,Internal audit reports,H,,,,,
M11.4,Art. 37,Manage,Does the DPO stay up to date with regulatory requirements?,"CPD records, Certifications",M,,,,,
M11.5,Art. 39,Manage,Does the DPO provide guidance on defining privacy roles?,Responsibility matrix (RACI),M,,,,,
M11.6,Art. 39,Manage,"Does the DPO review all compliance regulations (GDPR, etc.)?",Regulatory gap analysis,H,,,,,
"  M.12: Define enterprise risk management strategy, inclusive of data privacy risks",,,,,,,,,,
M12.0,"Art. 24, 32",Manage,Does the organization include privacy in risk management?,Risk Register,H,,,,,
M12.1,Art. 24,Manage,Are there principles for addressing risk across the org?,ERM Framework,M,,,,,
M12.2,Art. 24,Manage,Is there a framework to assess and manage threats?,Risk assessment methodology,M,,,,,
M12.3,Art. 24,Manage,Are mitigation or transfer strategies defined?,Risk Treatment Plan,M,,,,,
M12.4,Art. 24,Manage,Is risk prioritized to focus on high-value assets?,"Heat maps, Asset criticality",M,,,,,
M12.5,Art. 24,Manage,Are financial/reputational risks of data mishandling included?,Impact analysis reports,H,,,,,
  SECTION 3 – PROTECT,,,,,,,,,,
  P.1: Data protection and privacy by design and default (Art. 25),,,,,,,,,,
P1.0,Art. 25,Protect,Is 'Privacy by Design' integrated into tech and structure?,Product design docs,H,,,,,
P1.1,Art. 25,Protect,Does the organization have the ability to pseudonymize data?,De-identification protocol,M,,,,,
P1.2,Art. 25,Protect,Is there a process for data minimization (needed data only)?,Data collection review logs,H,,,,,
P1.3,Art. 25,Protect,Are access controls (Segregation of Duties) established?,"IAM policy, Access matrix",H,,,,,
P1.4,Art. 25,Protect,Is access provided using the 'Principle of Least Privilege'?,User access review logs,H,,,,,
P1.5,Art. 25,Protect,Is privacy integrated into all relevant policies and processes?,Global Policy review,M,,,,,
P1.6,Art. 25,Protect,Is a privacy culture embedded through ongoing training?,Awareness campaign stats,M,,,,,
P1.7,Art. 25,Protect,Is privacy integrated into the SDLC?,Security/Privacy gates in Jira,H,,,,,
GW-ENC,Art. 32,"??  GATEWAY: Does the organization store or transmit sensitive personal data requiring encryption (e.g., IDs, financial, health data)?",,,H,,?  Answer YES or NO.  If NO ? mark all sub-controls below as N/A,,,
  P.2: Secure personal data through encryption,,,,,,,,,,
P2.0,Art. 32,Protect,"Is sensitive data (IDs, Bank Nos) encrypted?",Encryption scan results,H,,,,,
P2.1,Art. 32,Protect,Is there an encryption policy (what/how/why)?,Encryption Policy,M,,,,,
P2.2,Art. 32,Protect,Does a data protection standard document encryption criteria?,Technical Standard doc,M,,,,,
P2.3,Art. 32,Protect,Are appropriate technologies in place for encryption?,"Tool list (HSM, KMS)",M,,,,,
P2.4,Art. 32,Protect,Is new encryption technology regularly analyzed?,"Tech roadmap, research logs",L,,,,,
"  P.3: Secure personal data through CIA controls (Confidentiality, Integrity, Availability)",,,,,,,,,,
P3.0,Art. 32,Protect,Is there an ongoing effort to identify CIA controls?,Security Roadmap,H,,,,,
P3.1,Art. 32,Protect,Are CIA requirements formally defined for personal data?,Data Security Standard,H,,,,,
P3.2,Art. 32,Protect,Are measures defined to meet CIA requirements?,Control mapping,M,,,,,
P3.3,Art. 32,Protect,Is there a program for regular investment in security?,"IT budget, Training spend",M,,,,,
P3.4,Art. 29,Protect,Are controls in place to use data only as authorized?,RBAC logs,H,,,,,
P3.5,Art. 29,Protect,Are partner agreements limited to authorized data use?,Data Processing Agreement (DPA),H,,,,,
P3.6,Art. 32,Protect,Can data availability be restored timely after an incident?,DR/BCP test results,H,,,,,
P3.7,Art. 46,Protect,Are safeguards implemented for international data transfers?,"SCCs, BCRs",H,,,,,
P3.8,Art. 32,Protect,"Are confidentiality measures (ACLs, physical) in place?",Physical security audit,H,,,,,
P3.9,Art. 32,Protect,"Are integrity measures (hashing, backups) in place?",Backup verification logs,H,,,,,
"  P.4: Prepare for, detect, and respond to data breaches",,,,,,,,,,
P4.0,"Art. 33, 34",Protect,Is there a breach response plan in place?,Incident Response Plan (IRP),H,,,,,
P4.1,Art. 33,Protect,Does the org notify authorities within 72 hours?,Breach notification logs,H,,,,,
P4.2,Art. 34,Protect,Are breach notices clear and inclusive of nature/remedy?,Subject notification templates,H,,,,,
P4.3,Art. 33,Protect,Is technology in place to detect breaches?,"SIEM, IDS/IPS logs",H,,,,,
P4.4,Art. 33,Protect,Are detailed records of breaches maintained?,Breach register,H,,,,,
P4.5,Art. 33,Protect,Are lessons learned from breaches documented/applied?,Post-mortem reports,M,,,,,
P4.6,Art. 33,Protect,Are breach response procedures regularly updated?,Annual IRP review,M,,,,,
P4.7,Art. 33,Protect,Are metrics maintained for breach detection/remediation?,SOC Dashboards,M,,,,,
  P.5: Facilitate regular testing of security measures,,,,,,,,,,
P5.0,Art. 32,Protect,Does the org perform security testing (technical/social)?,Pentest reports,H,,,,,
P5.1,Art. 32,Protect,Is there a process to regularly evaluate security measures?,Vulnerability Mgmt Policy,M,,,,,
P5.2,Art. 32,Protect,Do external partners periodically test security?,3rd party audit report,M,,,,,
P5.3,Art. 32,Protect,Is technology in place to regularly test security measures?,Vulnerability scanner logs,M,,,,,
P5.4,Art. 32,Protect,Are appropriate personnel in place to perform testing?,Security team org chart,M,,,,,
  SECTION 4 – REPORT,,,,,,,,,,
  R.1: Keep records to display GDPR compliance (RoPA),,,,,,,,,,
R1.0,Art. 30,Report,Does the org maintain RoPA with purpose/scope?,Completed RoPA,H,,,,,
R1.1,Art. 30,Report,Does RoPA include justification and contact categories?,RoPA audit,H,,,,,
R1.2,Art. 30,Report,Is personnel in place to support data recording?,Data stewards list,M,,,,,
R1.3,Art. 30,Report,Is technology in place to record required information?,"GRC tool (e.g., TrustArc)",M,,,,,
R1.4,Art. 30,Report,Are processes defined to record required information?,Data entry SOP,M,,,,,
R1.5,Art. 30,Report,Is there a process to stay updated on Codes of Conduct?,Regulatory feed logs,L,,,,,
R1.6,Art. 24,Report,Can the org demonstrate adherence to standards/BCRs?,Compliance certifications,M,,,,,
GW-INT,"Art. 45, 46",??  GATEWAY: Does the organization transfer personal data outside the EU/EEA?,,,H,,?  Answer YES or NO.  If NO ? mark all sub-controls below as N/A,,,
  R.2: Track and record flows of personal data out of the EU/EEA,,,,,,,,,,
R2.0,"Art. 45, 46",Report,Is there documentation of EU data transfers?,Data flow diagrams,H,,,,,
R2.1,Art. 30,Report,Is there a record of ongoing and ad-hoc EU transfers?,Transfer registry,H,,,,,
R2.2,Art. 45,Report,Is there a process to monitor country adequacy status?,Legal update logs,M,,,,,
R2.3,Art. 46,Report,Are personnel assigned to track international transfers?,Trade/Privacy officer roles,M,,,,,
R2.4,Art. 46,Report,Is technology used to track transfer locations/safeguards?,CASB/DLP location logs,L,,,,,
R2.5,Art. 46,Report,Are processes defined to track/record geo-transfers?,Transfer SOP,M,,,,,
GW-3P,Art. 28,??  GATEWAY: Does the organization share personal data with third-party service providers / processors?,,,H,,?  Answer YES or NO.  If NO ? mark all sub-controls below as N/A,,,
  R.3: Track and record flows of personal data to third-party service providers,,,,,,,,,,
R3.0,Art. 28,Report,Is there an inventory of third-party data processors?,Vendor Inventory,H,,,,,
R3.1,Art. 28,Report,Are third-parties assessed for data compliance?,Vendor Risk Assessment (VRA),H,,,,,
R3.2,Art. 28,Report,Are protection requirements defined for all third-parties?,Security Addendum,H,,,,,
R3.3,Art. 28,Report,Are requirements embedded in third-party contracts?,Signed DPAs,H,,,,,
R3.4,Art. 28,Report,Are there procedures for auditing third-party compliance?,Right-to-audit logs,M,,,,,
R3.5,Art. 28,Report,Is there ongoing communication with third-parties?,Vendor review meetings,M,,,,,
GW-DPIA,Art. 35,??  GATEWAY: Does the organization perform high-risk processing activities that require a Data Protection Impact Assessment (DPIA)?,,,H,,?  Answer YES or NO.  If NO ? mark all sub-controls below as N/A,,,
  R.4: Facilitate Data Protection Impact Assessments (DPIA),,,,,,,,,,
R4.0,Art. 35(1),Report,Does the organization have a formal process to determine when a DPIA is required?,DPIA Threshold Assessment,H,,,,,
R4.1,Art. 35(7),Report,Does the organization conduct DPIAs for high-risk processing activities?,Completed DPIA Reports,H,,,,,
R4.2,Art. 35(2),Report,Is the DPO consulted during the performance of a DPIA?,DPO Sign-off/Review logs,M,,,,,
R4.3,Art. 35(7)(d),Report,Does the DPIA include measures to address risks and demonstrate compliance?,Risk Treatment Plan,H,,,,,
R4.4,Art. 35(9),Report,Does the organization seek the views of data subjects on intended processing?,Consultation records,L,,,,,
R4.5,Art. 36(1),Report,Does the organization consult the Supervisory Authority prior to high-risk processing?,Regulator correspondence,H,,,,,
R4.6,Art. 35(11),Report,Is there a process to review and update DPIAs when processing risk changes?,Revision history logs,M,,,,,
